12-18 15:41:55.410 WARN  [background-preinit] [o.s.h.converter.json.Jackson2ObjectMapperBuilder] : For Jackson Kotlin classes support please add "com.fasterxml.jackson.module:jackson-module-kotlin" to the classpath
12-18 15:41:58.091 INFO  [main] [org.springframework.web.context.ContextLoader] : Root WebApplicationContext: initialization completed in 2247 ms
12-18 15:41:59.316 INFO  [main] [com.alibaba.druid.pool.DruidDataSource] : {dataSource-1,petrel_core} inited
12-18 15:41:59.316 INFO  [main] [com.alibaba.druid.pool.DruidDataSource] : {dataSource-2,petrel_record} inited
12-18 15:41:59.316 INFO  [main] [c.b.dynamic.datasource.DynamicRoutingDataSource] : dynamic-datasource - load a datasource named [petrel_record] success
12-18 15:41:59.316 INFO  [main] [c.b.dynamic.datasource.DynamicRoutingDataSource] : dynamic-datasource - load a datasource named [petrel_core] success
12-18 15:41:59.316 INFO  [main] [c.b.dynamic.datasource.DynamicRoutingDataSource] : dynamic-datasource initial loaded [2] datasource,primary datasource named [petrel_core]
12-18 15:42:01.519 INFO  [main] [c.a.n.s.c.e.LoggingNacosConfigMetadataEventListener] : Nacos Config Metadata : dataId='petrel-game-config.yaml', groupId='DEFAULT_GROUP', beanName='lobbyConfig', bean='GameConfig(hostUrl=http://116.62.162.42:9999/ycd_update/, wxId=wxid_value, wxSecret=wxSecret_value, lobbyVersion=3, lobbyVfx=YCD)', beanType='class com.petrel.register.config.GameConfig', annotatedElement='class com.petrel.register.config.GameConfig', xmlResource='null', nacosProperties='{password=nacos, serverAddr=127.0.0.1:6878, encode=UTF-8, username=nacos}', nacosPropertiesAttributes='{accessKey=${nacos.access-key:}, clusterName=${nacos.cluster-name:}, configLongPollTimeout=${nacos.configLongPollTimeout:}, configRetryTime=${nacos.configRetryTime:}, contextPath=${nacos.context-path:}, enableRemoteSyncConfig=${nacos.enableRemoteSyncConfig:}, encode=${nacos.encode:UTF-8}, endpoint=${nacos.endpoint:}, maxRetry=${nacos.maxRetry:}, namespace=${nacos.namespace:}, password=${nacos.password:}, secretKey=${nacos.secret-key:}, serverAddr=${nacos.server-addr:}, username=${nacos.username:}}', source='@com.alibaba.nacos.api.config.annotation.NacosConfigurationProperties(autoRefreshed=true, dataId=petrel-game-config.yaml, exceptionIfInvalid=true, groupId=DEFAULT_GROUP, ignoreInvalidFields=false, ignoreNestedProperties=false, ignoreUnknownFields=true, prefix=, properties=@com.alibaba.nacos.api.annotation.NacosProperties(accessKey=${nacos.access-key:}, clusterName=${nacos.cluster-name:}, configLongPollTimeout=${nacos.configLongPollTimeout:}, configRetryTime=${nacos.configRetryTime:}, contextPath=${nacos.context-path:}, enableRemoteSyncConfig=${nacos.enableRemoteSyncConfig:}, encode=${nacos.encode:UTF-8}, endpoint=${nacos.endpoint:}, maxRetry=${nacos.maxRetry:}, namespace=${nacos.namespace:}, password=${nacos.password:}, secretKey=${nacos.secret-key:}, serverAddr=${nacos.server-addr:}, username=${nacos.username:}), type=YAML, yaml=false)', timestamp='1671349321519'
12-18 15:42:01.677 WARN  [main] [com.netflix.config.sources.URLConfigurationSource] : No URLs will be polled as dynamic configuration sources.
12-18 15:42:01.677 INFO  [main] [com.netflix.config.sources.URLConfigurationSource] : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
12-18 15:42:01.677 WARN  [main] [com.netflix.config.sources.URLConfigurationSource] : No URLs will be polled as dynamic configuration sources.
12-18 15:42:01.677 INFO  [main] [com.netflix.config.sources.URLConfigurationSource] : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
12-18 15:42:02.212 INFO  [main] [o.s.scheduling.concurrent.ThreadPoolTaskScheduler] : Initializing ExecutorService 'Nacso-Watch-Task-Scheduler'
12-18 15:42:02.887 INFO  [main] [o.s.b.actuate.endpoint.web.EndpointLinksResolver] : Exposing 18 endpoint(s) beneath base path '/actuator'
12-18 15:42:03.045 INFO  [main] [o.s.boot.web.embedded.tomcat.TomcatWebServer] : Tomcat started on port(s): 7180 (http) with context path ''
12-18 15:42:03.092 INFO  [main] [c.a.cloud.nacos.registry.NacosServiceRegistry] : nacos registry, DEFAULT_GROUP petrel-kernel-register 172.19.48.88:7180 register finished
12-18 15:42:03.123 INFO  [main] [com.petrel.register.RegisterApplication] : Started RegisterApplication in 8.476 seconds (JVM running for 8.985)
12-18 15:42:03.249 INFO  [main] [io.lettuce.core.EpollProvider] : Starting without optional epoll library
12-18 15:42:03.249 INFO  [main] [io.lettuce.core.KqueueProvider] : Starting without optional kqueue library
12-18 15:42:03.531 INFO  [main] [com.zebra.rpc.register.ServerRegistryService] : Register send msg to server RegisterUrlVO(serverId=lobby:127.0.0.1:9879, path=127.0.0.1, port=9879, lobby=1)
12-18 15:42:04.568 ERROR [main] [com.zebra.rpc.register.ServerRegistryService] : Register start not connect server ServerInfoVO(serverId=lobby:127.0.0.1:9879, appName=petrel-game-lobby, outIp=116.62.162.42, inIp=127.0.0.1, vfxs=LOBBY, port=9879, weight=50, gameType=0, onlineNumber=0, online=1)
12-18 15:42:04.568 INFO  [main] [com.zebra.rpc.register.ServerRegistryService] : Register serverOffline process offline lobby:127.0.0.1:9879 
12-18 15:42:04.600 INFO  [main] [com.zebra.rpc.register.ServerRegistryService] : Register send msg to server RegisterUrlVO(serverId=slots:127.0.0.1:9527, path=127.0.0.1, port=9527, lobby=0)
12-18 15:42:05.624 ERROR [main] [com.zebra.rpc.register.ServerRegistryService] : Register start not connect server ServerInfoVO(serverId=slots:127.0.0.1:9527, appName=petrel-game-slots, outIp=116.62.162.42, inIp=127.0.0.1, vfxs=YNKB,SGQQQ,CSLL,SXLM,FKHZ,XCXML,MLHG,KBMXT,MLCS,JZSF,GEF,SHZ,YGBH,TTSGJ,WLZB,GXFC,SGJ,XJPM,BQTP,AJYH,JSYC,TGG,DYXM,XMZZ, port=9527, weight=50, gameType=1, onlineNumber=0, online=1)
12-18 15:42:05.624 INFO  [main] [com.zebra.rpc.register.ServerRegistryService] : Register serverOffline process offline slots:127.0.0.1:9527 
12-18 15:42:05.671 INFO  [main] [com.zebra.rpc.register.ServerRegistryService] : Register send msg to server RegisterUrlVO(serverId=chess:127.0.0.1:9637, path=127.0.0.1, port=9637, lobby=0)
12-18 15:42:06.692 ERROR [main] [com.zebra.rpc.register.ServerRegistryService] : Register start not connect server ServerInfoVO(serverId=chess:127.0.0.1:9637, appName=petrel-game-chess, outIp=116.62.162.42, inIp=127.0.0.1, vfxs=SHBZ, port=9637, weight=50, gameType=2, onlineNumber=0, online=1)
12-18 15:42:06.692 INFO  [main] [com.zebra.rpc.register.ServerRegistryService] : Register serverOffline process offline chess:127.0.0.1:9637 
12-18 15:42:28.404 INFO  [http-nio-7180-exec-1] [o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]] : Initializing Spring DispatcherServlet 'dispatcherServlet'
12-18 15:42:28.404 INFO  [http-nio-7180-exec-1] [org.springframework.web.servlet.DispatcherServlet] : Initializing Servlet 'dispatcherServlet'
12-18 15:42:28.435 INFO  [http-nio-7180-exec-1] [org.springframework.web.servlet.DispatcherServlet] : Completed initialization in 31 ms
12-18 15:42:28.482 INFO  [http-nio-7180-exec-1] [com.petrel.register.controller.RegisterController] : Register receive registry msg ServerRegistryRequest(serverId=lobby:127.0.0.1:9879, appName=petrel-game-lobby, inIp=127.0.0.1, port=9879, vfx=LOBBY, gameType=0, outIp=116.62.162.42, weight=50)
12-18 15:42:28.498 INFO  [http-nio-7180-exec-1] [com.zebra.rpc.register.ServerRegistryService] : Register send msg to server RegisterUrlVO(serverId=lobby:127.0.0.1:9879, path=127.0.0.1, port=9879, lobby=1)
12-18 15:42:28.498 INFO  [http-nio-7180-exec-1] [com.zebra.net.client.RegistryClient] : start success RegisterUrlVO(serverId=lobby:127.0.0.1:9879, path=127.0.0.1, port=9879, lobby=1)
12-18 15:42:28.498 INFO  [nioEventLoopGroup-10-1] [com.zebra.net.client.RegistryHeartHandler] : Register Connection channel active: 127.0.0.1:9879 RegisterUrlVO(serverId=lobby:127.0.0.1:9879, path=127.0.0.1, port=9879, lobby=1)
12-18 15:42:28.514 INFO  [nioEventLoopGroup-10-1] [com.zebra.net.codec.ZebraEncoder] : Response c:222 u:0 r:0 s:200 l:26 [L:/127.0.0.1:53208 - R:/127.0.0.1:9879]
12-18 15:42:38.705 INFO  [http-nio-7180-exec-2] [com.petrel.register.controller.RegisterController] : Register receive registry msg ServerRegistryRequest(serverId=chess:127.0.0.1:9637, appName=petrel-game-chess, inIp=127.0.0.1, port=9637, vfx=SHBZ, gameType=2, outIp=116.62.162.42, weight=50)
12-18 15:42:38.721 INFO  [http-nio-7180-exec-2] [com.zebra.rpc.register.ServerRegistryService] : Register send msg to server RegisterUrlVO(serverId=chess:127.0.0.1:9637, path=127.0.0.1, port=9637, lobby=0)
12-18 15:42:38.721 INFO  [http-nio-7180-exec-2] [com.zebra.net.client.RegistryClient] : start success RegisterUrlVO(serverId=chess:127.0.0.1:9637, path=127.0.0.1, port=9637, lobby=0)
12-18 15:42:38.721 INFO  [nioEventLoopGroup-11-1] [com.zebra.net.client.RegistryHeartHandler] : Register Connection channel active: 127.0.0.1:9637 RegisterUrlVO(serverId=chess:127.0.0.1:9637, path=127.0.0.1, port=9637, lobby=0)
12-18 15:42:38.721 INFO  [nioEventLoopGroup-11-1] [com.zebra.net.codec.ZebraEncoder] : Response c:222 u:0 r:0 s:200 l:26 [L:/127.0.0.1:53258 - R:/127.0.0.1:9637]
12-18 15:42:49.149 INFO  [http-nio-7180-exec-3] [com.petrel.register.controller.RegisterController] : Register receive registry msg ServerRegistryRequest(serverId=slots:127.0.0.1:9527, appName=petrel-game-slots, inIp=127.0.0.1, port=9527, vfx=YNKB,SGQQQ,CSLL,SXLM,FKHZ,XCXML,MLHG,KBMXT,MLCS,JZSF,GEF,SHZ,YGBH,TTSGJ,WLZB,GXFC,SGJ,XJPM,BQTP,AJYH,JSYC,TGG,DYXM,XMZZ, gameType=1, outIp=116.62.162.42, weight=50)
12-18 15:42:49.165 INFO  [http-nio-7180-exec-3] [com.zebra.rpc.register.ServerRegistryService] : Register send msg to server RegisterUrlVO(serverId=slots:127.0.0.1:9527, path=127.0.0.1, port=9527, lobby=0)
12-18 15:42:49.165 INFO  [http-nio-7180-exec-3] [com.zebra.net.client.RegistryClient] : start success RegisterUrlVO(serverId=slots:127.0.0.1:9527, path=127.0.0.1, port=9527, lobby=0)
12-18 15:42:49.165 INFO  [nioEventLoopGroup-12-1] [com.zebra.net.client.RegistryHeartHandler] : Register Connection channel active: 127.0.0.1:9527 RegisterUrlVO(serverId=slots:127.0.0.1:9527, path=127.0.0.1, port=9527, lobby=0)
12-18 15:42:49.165 INFO  [nioEventLoopGroup-12-1] [com.zebra.net.codec.ZebraEncoder] : Response c:222 u:0 r:0 s:200 l:26 [L:/127.0.0.1:53308 - R:/127.0.0.1:9527]
